x_mm,y_mm,thickness_mm
18.9000,2.0000,0.0000
19.0000,2.0000,0.0000
19.1000,2.0000,0.0000
19.2000,2.0000,0.0000
19.3000,2.0000,0.0000
19.4000,2.0000,0.0000
19.5000,2.0000,0.0000
19.6000,2.0000,0.0000
19.7000,2.0000,0.0000
19.8000,2.0000,0.0000
19.9000,2.0000,0.0000
20.0000,2.0000,0.0000
20.1000,2.0000,0.0000
20.2000,2.0000,0.0000
20.3000,2.0000,0.0000
20.4000,2.0000,0.0000
20.5000,2.0000,0.0000
20.6000,2.0000,0.0000
20.7000,2.0000,0.0000
20.8000,2.0000,0.0000
20.9000,2.0000,0.0000
21.0000,2.0000,0.0000
21.1000,2.0000,0.0000
21.2000,2.0000,0.0000
21.3000,2.0000,0.0000
21.4000,2.0000,0.0000
21.5000,2.0000,0.0000
21.6000,2.0000,0.0000
21.7000,2.0000,0.0000
21.8000,2.0000,0.0000
21.9000,2.0000,0.0000
22.0000,2.0000,0.0000
22.1000,2.0000,0.0000
22.2000,2.0000,0.0000
22.3000,2.0000,0.0000
22.4000,2.0000,0.0000
22.5000,2.0000,0.0000
22.6000,2.0000,0.0000
22.7000,2.0000,0.0000
22.8000,2.0000,0.0000
22.9000,2.0000,0.0000
23.0000,2.0000,0.0000
23.1000,2.0000,0.0000
23.2000,2.0000,0.0000
23.3000,2.0000,0.0000
23.4000,2.0000,0.0000
23.5000,2.0000,0.0000
23.6000,2.0000,0.0000
23.7000,2.0000,0.0000
23.8000,2.0000,0.0000
23.9000,2.0000,0.0000
24.0000,2.0000,0.0000
24.1000,2.0000,0.0000
24.2000,2.0000,0.0000
24.3000,2.0000,0.0000
24.4000,2.0000,0.0000
24.5000,2.0000,0.0000
24.6000,2.0000,0.0000
24.7000,2.0000,0.0000
24.8000,2.0000,0.0000
24.9000,2.0000,0.0861
25.0000,2.0000,0.0000
25.1000,2.0000,0.0000
25.2000,2.0000,0.0000
25.3000,2.0000,0.0000
25.4000,2.0000,0.0000
25.5000,2.0000,0.0000
25.6000,2.0000,0.0000
25.7000,2.0000,0.0000
25.8000,2.0000,0.0000
25.9000,2.0000,0.0000
26.0000,2.0000,0.0000
26.1000,2.0000,0.0000
26.2000,2.0000,0.0000
26.3000,2.0000,0.0000
26.4000,2.0000,0.0000
26.5000,2.0000,0.0000
26.6000,2.0000,0.0000
26.7000,2.0000,0.0000
26.8000,2.0000,0.0000
26.9000,2.0000,0.0000
27.0000,2.0000,0.0861
27.1000,2.0000,0.0000
27.2000,2.0000,0.0000
27.3000,2.0000,0.0000
27.4000,2.0000,0.0000
27.5000,2.0000,0.0000
27.6000,2.0000,0.0000
27.7000,2.0000,0.0000
27.8000,2.0000,0.0000
27.9000,2.0000,0.0861
28.0000,2.0000,0.0000
28.1000,2.0000,0.0000
28.2000,2.0000,0.0000
28.3000,2.0000,0.0000
28.4000,2.0000,0.0000
28.5000,2.0000,0.0000
28.6000,2.0000,0.0000
28.7000,2.0000,0.0000
28.8000,2.0000,0.0000
28.9000,2.0000,0.0000
29.0000,2.0000,0.0000
29.1000,2.0000,0.0000
29.2000,2.0000,0.0000
29.3000,2.0000,0.0000
29.4000,2.0000,0.0861
29.5000,2.0000,0.0000
29.6000,2.0000,0.0000
29.7000,2.0000,0.0000
29.8000,2.0000,0.0000
29.9000,2.0000,0.0000
30.0000,2.0000,0.0000
29.9000,3.0000,0.0000
29.8000,3.0000,0.0861
29.7000,3.0000,0.0000
29.6000,3.0000,0.0000
29.5000,3.0000,0.0000
29.4000,3.0000,0.0861
29.3000,3.0000,0.0000
29.2000,3.0000,0.0000
29.1000,3.0000,0.0000
29.0000,3.0000,0.0000
28.9000,3.0000,0.0861
28.8000,3.0000,0.0000
28.7000,3.0000,0.0000
28.6000,3.0000,0.0000
28.5000,3.0000,0.0000
28.4000,3.0000,0.0000
28.3000,3.0000,0.0000
28.2000,3.0000,0.0000
28.1000,3.0000,0.0000
28.0000,3.0000,0.0000
27.9000,3.0000,0.0000
27.8000,3.0000,0.0000
27.7000,3.0000,0.0000
27.6000,3.0000,0.0000
27.5000,3.0000,0.0000
